"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points","opp_three_pt_Attempts","opp_three_pt_Made","opp_three_pt_Percentage","win_team","diff_tpa","diff_tpm","diff_tpp","Percent_of_Points","opp_Percent_of_Points","diff_pop"
"1","bos",33946,32,11,34.4,122,44,15,34.1,1,-12,-4,0.299999999999997,0.270491803278689,0.384615384615385,-0.114123581336696
"2","bos",33955,23,8,34.8,99,25,11,44,0,-2,-3,-9.2,0.242424242424242,0.314285714285714,-0.0718614718614718
"3","bos",33967,31,15,48.4,104,32,9,28.1,1,-1,6,20.3,0.432692307692308,0.275510204081633,0.157182103610675
"4","bos",34001,32,14,43.8,107,20,7,35,1,12,7,8.8,0.392523364485981,0.21,0.182523364485981
"5","bos",34008,32,11,34.4,122,34,14,41.2,0,-2,-3,-6.8,0.270491803278689,0.328125,-0.0576331967213115
"6","bos",34031,25,8,32,107,23,11,47.8,0,2,-3,-15.8,0.224299065420561,0.268292682926829,-0.0439936175062685
"7","bos",34047,31,10,32.3,93,21,10,47.6,0,10,0,-15.3,0.32258064516129,0.254237288135593,0.0683433570256971
"8","bos",34065,27,11,40.7,115,23,6,26.1,1,4,5,14.6,0.28695652173913,0.206896551724138,0.0800599700149925
"9","bos",34070,25,8,32,105,27,6,22.2,1,-2,2,9.8,0.228571428571429,0.181818181818182,0.0467532467532467
"10","bos",34088,41,12,29.3,105,21,6,28.6,0,20,6,0.699999999999999,0.342857142857143,0.169811320754717,0.173045822102426
"11","bos",34101,21,7,33.3,90,23,8,34.8,1,-2,-1,-1.5,0.233333333333333,0.289156626506024,-0.0558232931726907
"12","bos",34119,32,11,34.4,88,28,9,32.1,0,4,2,2.3,0.375,0.259615384615385,0.115384615384615
"13","bos",34128,31,12,38.7,94,20,7,35,1,11,5,3.7,0.382978723404255,0.228260869565217,0.154717853839038
"14","bos",34145,38,12,31.6,99,24,4,16.7,1,14,8,14.9,0.363636363636364,0.129032258064516,0.234604105571848
"15","bos",34157,38,15,39.5,111,31,10,32.3,1,7,5,7.2,0.405405405405405,0.326086956521739,0.0793184488836663
"16","bos",34165,34,12,35.3,103,24,11,45.8,0,10,1,-10.5,0.349514563106796,0.302752293577982,0.0467622695288145
"17","bos",34196,27,11,40.7,112,30,6,20,1,-3,5,20.7,0.294642857142857,0.173076923076923,0.121565934065934
"18","bos",34207,42,15,35.7,114,20,9,45,0,22,6,-9.3,0.394736842105263,0.223140495867769,0.171596346237495
"19","bos",34223,28,11,39.3,97,26,6,23.1,1,2,5,16.2,0.34020618556701,0.195652173913043,0.144554011653967
"20","bos",34234,26,8,30.8,107,33,15,45.4,1,-7,-7,-14.6,0.224299065420561,0.424528301886792,-0.200229236466232
"21","bos",34251,32,11,34.4,106,38,12,31.6,0,-6,-1,2.8,0.311320754716981,0.336448598130841,-0.02512784341386
"22","bos",34262,26,7,26.9,117,26,11,42.3,1,0,-4,-15.4,0.179487179487179,0.379310344827586,-0.199823165340407
"23","bos",34279,42,17,40.5,94,20,9,45,0,22,8,-4.5,0.542553191489362,0.267326732673267,0.275226458816094
"24","bos",34297,32,11,34.4,96,21,3,14.3,0,11,8,20.1,0.34375,0.0909090909090909,0.252840909090909
"25","bos",34323,31,10,32.3,101,22,8,36.4,0,9,2,-4.1,0.297029702970297,0.222222222222222,0.0748074807480748
"26","bos",34331,28,9,32.1,96,30,8,26.7,1,-2,1,5.4,0.28125,0.272727272727273,0.00852272727272729
"27","bos",34350,28,9,32.1,105,24,9,37.5,1,4,0,-5.4,0.257142857142857,0.284210526315789,-0.0270676691729324
"28","bos",34364,37,12,32.4,112,30,12,40,1,7,0,-7.6,0.321428571428571,0.330275229357798,-0.00884665792922673
"29","bos",34380,39,10,25.6,109,23,7,30.4,1,16,3,-4.8,0.275229357798165,0.205882352941176,0.0693470048569887
"30","bos",34385,28,9,32.1,112,26,11,42.3,0,2,-2,-10.2,0.241071428571429,0.282051282051282,-0.0409798534798535
"31","bos",34396,36,14,38.9,119,23,8,34.8,1,13,6,4.1,0.352941176470588,0.210526315789474,0.142414860681115
"32","bos",34412,31,12,38.7,113,30,9,30,1,1,3,8.7,0.31858407079646,0.262135922330097,0.0564481484663631
"33","bos",34428,37,12,32.4,118,38,14,36.8,0,-1,-2,-4.4,0.305084745762712,0.338709677419355,-0.0336249316566429
"34","bos",34434,32,17,53.1,117,28,11,39.3,1,4,6,13.8,0.435897435897436,0.289473684210526,0.14642375168691
"35","bos",34462,31,17,54.8,115,26,11,42.3,1,5,6,12.5,0.443478260869565,0.317307692307692,0.126170568561873
"36","bos",34486,40,19,47.5,110,28,9,32.1,1,12,10,15.4,0.518181818181818,0.254716981132075,0.263464837049743
"37","bos",34493,36,18,50,117,31,10,32.3,1,5,8,17.7,0.461538461538462,0.277777777777778,0.183760683760684
"38","bos",34512,27,9,33.3,106,22,10,45.4,0,5,-1,-12.1,0.254716981132075,0.263157894736842,-0.00844091360476662
"39","bos",34523,41,17,41.5,117,26,10,38.5,1,15,7,3,0.435897435897436,0.277777777777778,0.158119658119658
"40","bos",34537,44,17,38.6,103,29,11,37.9,1,15,6,0.700000000000003,0.495145631067961,0.326732673267327,0.168412957800634
