"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points"
"1","bos","33946",32,11,34.4,122
"2","bos","33955",23,8,34.8,99
"3","bos","33967",31,15,48.4,104
"4","bos","34001",32,14,43.8,107
"5","bos","34008",32,11,34.4,122
"6","bos","34031",25,8,32,107
"7","bos","34047",31,10,32.3,93
"8","bos","34065",27,11,40.7,115
"9","bos","34070",25,8,32,105
"10","bos","34088",41,12,29.3,105
"11","bos","34101",21,7,33.3,90
"12","bos","34119",32,11,34.4,88
"13","bos","34128",31,12,38.7,94
"14","bos","34145",38,12,31.6,99
"15","bos","34157",38,15,39.5,111
"16","bos","34165",34,12,35.3,103
"17","bos","34196",27,11,40.7,112
"18","bos","34207",42,15,35.7,114
"19","bos","34223",28,11,39.3,97
"20","bos","34234",26,8,30.8,107
"21","bos","34251",32,11,34.4,106
"22","bos","34262",26,7,26.9,117
"23","bos","34279",42,17,40.5,94
"24","bos","34297",32,11,34.4,96
"25","bos","34323",31,10,32.3,101
"26","bos","34331",28,9,32.1,96
"27","bos","34350",28,9,32.1,105
"28","bos","34364",37,12,32.4,112
"29","bos","34380",39,10,25.6,109
"30","bos","34385",28,9,32.1,112
"31","bos","34396",36,14,38.9,119
"32","bos","34412",31,12,38.7,113
"33","bos","34428",37,12,32.4,118
"34","bos","34434",32,17,53.1,117
"35","bos","34462",31,17,54.8,115
"36","bos","34486",40,19,47.5,110
"37","bos","34493",36,18,50,117
"38","bos","34512",27,9,33.3,106
"39","bos","34523",41,17,41.5,117
"40","bos","34537",44,17,38.6,103
"41","bos","34558",39,15,38.5,108
"42","bos","34570",33,9,27.3,106
"43","bos","34590",35,13,37.1,123
"44","bos","34616",33,10,30.3,108
"45","bos","34621",32,11,34.4,120
"46","bos","34637",34,16,47.1,128
"47","bos","34646",40,14,35,112
"48","bos","34661",32,13,40.6,113
"49","bos","34672",36,12,33.3,109
"50","bos","34691",35,13,37.1,113
"51","bos","34706",52,16,30.8,107
"52","bos","34733",32,10,31.2,92
"53","bos","34738",30,10,33.3,120
"54","bos","34755",30,13,43.3,112
"55","bos","34766",34,16,47.1,111
"56","bos","34776",28,13,46.4,116
"57","bos","34789",37,14,37.8,103
"58","bos","34798",38,12,31.6,97
"59","bos","34819",35,12,34.3,104
"60","bos","34825",34,10,29.4,98
"61","bos","34839",31,13,41.9,103
"62","bos","34858",33,10,30.3,115
"63","bos","34869",37,13,35.1,106
"64","bos","34885",35,10,28.6,102
"65","bos","34899",29,10,34.5,99
"66","bos","34910",33,12,36.4,99
"67","bos","34925",37,16,43.2,100
"68","bos","34946",33,13,39.4,117
"69","bos","34962",29,7,24.1,98
"70","bos","34977",29,6,20.7,99
"71","bos","34987",33,10,30.3,110
"72","bos","35000",27,11,40.7,109
"73","bos","35016",41,14,34.2,130
"74","bos","35033",24,8,33.3,112
"75","bos","35053",37,12,32.4,100
"76","bos","35069",33,12,36.4,117
"77","bos","35082",37,12,32.4,110
"78","bos","35109",33,7,21.2,91
"79","bos","35117",43,15,34.9,116
"80","bos","35129",39,17,43.6,121
"81","bos","35144",38,14,36.8,114
